,counterpart_area,economy,time,ExternalDebtStock
529,009,ARG,YR2011,
530,009,ARG,YR2012,
531,009,ARG,YR2013,
532,009,ARG,YR2014,
533,009,ARG,YR2015,
534,009,ARG,YR2016,
535,009,ARG,YR2017,
536,009,ARG,YR2018,
537,009,ARG,YR2019,
538,009,ARG,YR2020,
539,009,DZA,YR2010,
540,009,DZA,YR2011,
541,009,DZA,YR2012,
542,009,DZA,YR2013,
543,009,DZA,YR2014,
544,009,DZA,YR2015,
545,009,DZA,YR2016,
546,009,DZA,YR2017,
547,009,DZA,YR2018,
548,009,DZA,YR2019,
549,009,DZA,YR2020,
550,009,ETH,YR2010,
551,009,ETH,YR2011,
552,009,ETH,YR2012,
553,009,ETH,YR2013,
554,009,ETH,YR2014,
555,009,ETH,YR2015,
556,009,ETH,YR2016,
557,009,ETH,YR2017,
558,009,ETH,YR2018,
559,009,ETH,YR2019,
560,009,ETH,YR2020,
561,009,TZA,YR2010,
562,009,TZA,YR2011,
563,009,TZA,YR2012,
564,009,TZA,YR2013,
565,009,TZA,YR2014,
566,009,TZA,YR2015,
567,009,TZA,YR2016,
568,009,TZA,YR2017,
569,009,TZA,YR2018,
570,009,TZA,YR2019,
571,009,TZA,YR2020,
572,009,UZB,YR2010,
573,009,UZB,YR2011,
574,009,UZB,YR2012,
575,009,UZB,YR2013,
576,009,UZB,YR2014,
577,009,UZB,YR2015,
578,009,UZB,YR2016,
579,009,UZB,YR2017,
580,009,UZB,YR2018,
581,009,UZB,YR2019,
582,009,UZB,YR2020,
583,009,VNM,YR2010,
584,009,VNM,YR2011,
585,009,VNM,YR2012,
586,009,VNM,YR2013,
587,009,VNM,YR2014,
588,009,VNM,YR2015,
589,009,VNM,YR2016,
590,009,VNM,YR2017,
591,009,VNM,YR2018,
592,009,VNM,YR2019,
593,009,VNM,YR2020,
594,010,ARG,YR2010,244835576.8
595,010,ARG,YR2011,244419505.2
596,010,ARG,YR2012,250822833.1
597,010,ARG,YR2013,257593557.5
598,010,ARG,YR2014,15447450.3
599,010,ARG,YR2015,14178900.0
600,010,ARG,YR2016,11268727.9
601,010,ARG,YR2017,9784216.4
602,010,ARG,YR2018,6583995.3
603,010,ARG,YR2019,3528402.4
604,010,ARG,YR2020,4010343.0
605,010,DZA,YR2010,0.0
606,010,DZA,YR2011,0.0
607,010,DZA,YR2012,0.0
608,010,DZA,YR2013,
609,010,DZA,YR2014,
610,010,DZA,YR2015,
611,010,DZA,YR2016,
612,010,DZA,YR2017,
613,010,DZA,YR2018,
614,010,DZA,YR2019,
615,010,DZA,YR2020,
616,010,ETH,YR2010,0.0
617,010,ETH,YR2011,
618,010,ETH,YR2012,
619,010,ETH,YR2013,
620,010,ETH,YR2014,0.0
621,010,ETH,YR2015,167470000.0
622,010,ETH,YR2016,167470000.0
623,010,ETH,YR2017,140589000.0
624,010,ETH,YR2018,118260000.0
625,010,ETH,YR2019,119092000.0
626,010,ETH,YR2020,106711000.0
627,010,TZA,YR2010,0.0
628,010,TZA,YR2011,0.0
629,010,TZA,YR2012,0.0
630,010,TZA,YR2013,0.0
631,010,TZA,YR2014,0.0
632,010,TZA,YR2015,0.0
633,010,TZA,YR2016,1455386.1
634,010,TZA,YR2017,3359283.6
635,010,TZA,YR2018,4056184.5
636,010,TZA,YR2019,4020410.1
637,010,TZA,YR2020,4933595.9
638,010,UZB,YR2010,
639,010,UZB,YR2011,
640,010,UZB,YR2012,
641,010,UZB,YR2013,
642,010,UZB,YR2014,
643,010,UZB,YR2015,
644,010,UZB,YR2016,
645,010,UZB,YR2017,
646,010,UZB,YR2018,
647,010,UZB,YR2019,
648,010,UZB,YR2020,
649,010,VNM,YR2010,9462115.5
650,010,VNM,YR2011,6768682.9
651,010,VNM,YR2012,4900335.5
652,010,VNM,YR2013,2395832.8
653,010,VNM,YR2014,617196.2
654,010,VNM,YR2015,156583000.0
655,010,VNM,YR2016,321892000.0
656,010,VNM,YR2017,464782000.0
657,010,VNM,YR2018,422713000.0
658,010,VNM,YR2019,380644000.0
659,010,VNM,YR2020,337533000.0
